charm,aback,spelt,touch,merge,erase,stamp,allot;2,5,6,7,8,9,10,11;soare,erase,clint,bumfs,touch,aback,allot,spelt,charm,stamp,merge
guide,small,basil,graft,drill,arbor,dowry,stall;3,4,5,6,7,8,9,11;soare,clint,guide,drill,dowry,basil,graft,arbor,stall,lemel,small
other,minim,bossy,stave,lowly,condo,repel,llama;4,5,6,7,8,10,11,12;soare,clint,dumky,llama,bossy,condo,minim,lowly,vughs,repel,stave,other
serif,fatty,welch,trace,melon,anger,tweet,plunk;3,4,5,6,7,8,9,10;soare,clint,serif,trace,tweet,welch,melon,fatty,anger,plunk
recut,billy,sheik,idler,hinge,bongo,leash,chore;3,4,5,6,7,8,9,10;soare,clint,leash,hinge,idler,bongo,chore,sheik,recut,billy
shave,whale,berry,egret,crate,rouge,wight,lousy;3,4,5,6,7,8,10,12;soare,clint,lousy,whale,rouge,crate,egret,wight,plumb,berry,diver,shave
fetid,venom,rabid,vigil,cello,daily,octal,demon;3,4,5,6,7,8,9,11;soare,clint,cello,octal,fetid,venom,daily,vigil,demon,bayes,rabid
purge,posse,churn,buddy,await,shunt,troll,showy;3,4,5,6,7,8,10,11;soare,clint,churn,await,troll,posse,shunt,showy,mozed,buddy,purge
raven,optic,libel,talon,aorta,oaken,oxide,swath;3,4,5,6,7,8,9,11;soare,clint,optic,aorta,oaken,libel,swath,oxide,talon,lemel,raven
quack,ankle,charm,daisy,cadet,pause,butch,vaunt;4,5,6,7,8,9,10,12;soare,clint,budge,charm,quack,ankle,cadet,daisy,butch,pause,ajiva,vaunt
acorn,chart,essay,siren,tubal,anger,alpha,preen;3,4,5,6,7,8,9,10;soare,clint,siren,essay,chart,alpha,preen,acorn,tubal,anger
plane,brass,mower,vowel,reuse,ovine,eager,sandy;3,4,5,6,7,9,10,11;soare,clint,plane,sandy,ovine,reuse,eager,howks,brass,vowel,mower
goody,rebel,spear,porch,bongo,badly,hurry,swarm;3,4,5,6,7,8,9,10;soare,clint,bongo,rebel,porch,swarm,badly,hurry,goody,spear
usurp,antic,pasta,shire,fluff,equal,flute,mogul;2,3,4,5,7,8,9,10;soare,usurp,equal,mogul,shire,fitna,pasta,fluff,antic,flute
skier,cadet,pitch,habit,unity,nurse,ratio,whole;3,4,5,6,7,8,9,10;soare,clint,ratio,habit,cadet,whole,skier,unity,nurse,pitch
angry,prove,qualm,skier,caput,cigar,dolly,blood;3,4,5,6,7,9,10,11;soare,clint,angry,qualm,caput,skier,cigar,bawdy,blood,dolly,prove
artsy,filth,taboo,boxer,gauze,midge,slash,theft;3,4,5,6,7,8,10,11;soare,clint,slash,filth,taboo,boxer,theft,artsy,zings,midge,gauze
afire,point,entry,pansy,sworn,crown,cheap,minus;3,4,5,6,7,8,9,10;soare,clint,pansy,cheap,entry,crown,minus,afire,point,sworn
madly,motto,terra,berth,beach,skate,undid,gassy;4,5,6,7,8,9,10,12;soare,clint,debug,berth,terra,beach,madly,undid,motto,gassy,yucko,skate
adapt,boast,pence,disco,abide,wrath,clung,epoxy;3,4,5,6,7,8,9,10;soare,clint,adapt,abide,boast,clung,wrath,epoxy,disco,pence
cable,bluer,envoy,thrum,plain,groin,began,grain;3,4,5,6,7,8,9,11;soare,clint,plain,cable,groin,began,thrum,grain,bluer,vying,envoy
ratty,valor,eight,annul,crier,react,viola,tramp;3,4,5,6,7,8,9,10;soare,clint,viola,valor,eight,tramp,react,annul,crier,ratty
grain,radii,brink,fussy,brood,mucky,locus,peace;3,4,6,7,8,9,10,12;soare,clint,peace,locus,byked,mucky,brood,grain,radii,brink,iftar,fussy
exist,impel,stank,tiara,golly,juice,liver,glint;3,4,6,7,8,9,10,11;soare,clint,tiara,juice,ledgy,glint,impel,golly,stank,exist,liver
swine,filth,glint,crony,aback,relic,cagey,organ;3,4,5,6,7,8,10,11;soare,clint,crony,cagey,relic,filth,glint,organ,puree,aback,swine
class,spill,patsy,jelly,bride,abort,wrist,hound;3,4,5,6,7,9,10,11;soare,clint,wrist,patsy,abort,spill,jelly,homed,class,hound,bride
gaudy,pushy,movie,stunt,crazy,bulky,viper,gayly;3,4,5,6,7,8,9,10;soare,clint,movie,viper,pushy,gaudy,gayly,crazy,stunt,bulky
lying,video,wooly,quilt,tumor,curio,tight,groom;3,4,5,6,7,8,9,11;soare,clint,video,curio,lying,groom,tumor,wooly,tight,bayes,quilt
trice,gassy,quack,shook,mango,going,stove,rupee;3,5,6,7,8,9,11,12;soare,clint,trice,gunky,mango,going,stove,quack,gassy,lippy,rupee,shook
ombre,boxer,furry,bosom,risky,audio,stage,agree;3,4,5,6,7,8,9,11;soare,mulct,bosom,risky,agree,boxer,audio,ombre,stage,iftar,furry
brawl,again,coast,amiss,grime,knife,scree,parry;3,4,6,7,8,9,10,11;soare,tunic,scree,coast,delph,brawl,again,grime,parry,amiss,knife
manor,snort,cross,threw,adorn,scoff,tiger,snowy;3,4,5,6,7,8,9,10;soare,clint,adorn,manor,snowy,threw,tiger,cross,snort,scoff
lever,error,piggy,paler,spout,brink,coven,mucus;3,4,5,6,8,9,10,11;soare,clint,coven,error,lever,mucus,podgy,spout,piggy,brink,paler
dwarf,liver,axion,crush,scarf,stuck,stunt,femur;3,4,5,6,7,8,9,10;soare,clint,crush,axion,dwarf,femur,scarf,stuck,stunt,liver
chill,forge,sissy,gusto,recur,badge,doubt,buyer;3,4,5,6,7,8,9,11;soare,clint,doubt,gusto,buyer,sissy,recur,forge,badge,lemel,chill
cloth,speck,metal,logic,downy,avoid,meter,borax;3,4,5,6,7,8,10,11;soare,clint,cloth,avoid,downy,speck,borax,logic,fitte,meter,metal
marsh,rural,shove,large,decor,align,quell,dodgy;3,4,5,7,8,9,10,11;soare,clint,large,decor,align,rheme,rural,shove,quell,marsh,dodgy
sober,drank,coach,dowry,ennui,month,decry,lying;3,4,5,6,7,8,9,10;soare,clint,decry,dowry,sober,drank,ennui,coach,lying,month
debit,eager,swath,strap,avian,urine,gouge,purge;3,4,5,7,8,9,10,11;soare,clipt,strap,avian,swath,gybes,gouge,eager,urine,purge,debit
drank,model,onion,gusty,chute,afoot,funny,which;3,4,5,7,8,9,10,11;soare,clint,chute,which,onion,defog,model,drank,afoot,gusty,funny
clued,stole,stomp,exile,awake,stout,rainy,easel;3,4,5,6,7,8,10,11;soare,clint,clued,easel,stole,exile,stout,rainy,smowt,stomp,awake
truer,mango,agree,lowly,piper,prove,whiny,kinky;4,5,6,7,8,9,11,12;soare,clint,pudgy,whiny,agree,kinky,piper,mango,lowly,squib,truer,prove
teddy,saute,ennui,comma,aback,ulcer,blurt,shown;3,4,5,6,7,8,9,11;soare,clint,ulcer,ennui,blurt,saute,teddy,comma,aback,smowt,shown
paddy,mower,niche,datum,crash,guppy,recap,exult;4,5,6,7,8,9,10,12;soare,clint,bumph,paddy,recap,datum,exult,guppy,niche,crash,varia,mower
purge,trail,gruel,stunk,blare,frill,iliac,shall;3,4,5,6,7,9,10,11;soare,clint,trail,gruel,stunk,iliac,purge,fowth,blare,frill,shall
using,puree,setup,teary,chafe,heath,exalt,aisle;3,4,5,6,7,8,10,11;soare,clipt,teary,chafe,using,exalt,aisle,setup,dirge,puree,heath
gonad,frill,shrug,chock,belie,child,graze,hotly;3,4,6,7,8,9,10,12;soare,clint,chock,hotly,budge,child,belie,shrug,gonad,frill,voips,graze
odder,undid,jaunt,churn,tooth,purge,adult,short;3,4,6,7,8,9,10,12;soare,clint,churn,short,toged,adult,odder,tooth,purge,undid,varia,jaunt
bench,sedan,midge,snuff,grunt,widow,assay,trade;3,4,5,6,7,8,9,10;soare,clint,bench,sedan,widow,midge,assay,snuff,grunt,trade
drive,truly,savoy,vegan,tying,plush,defer,overt;3,4,5,6,7,8,9,11;soare,clint,savoy,drive,truly,defer,tying,overt,vegan,bayes,plush
syrup,foray,shaft,jumbo,tangy,stein,inner,rayon;3,4,5,6,7,8,9,11;soare,clint,shaft,syrup,rayon,tangy,jumbo,foray,stein,iftar,inner
spurt,boule,inner,drain,haste,newly,tease,input;3,4,5,6,7,8,10,11;soare,clipt,input,boule,newly,tease,spurt,haste,zings,drain,inner
threw,nasty,teeth,usage,given,riper,rebar,weird;3,4,5,6,7,8,9,10;soare,clint,weird,threw,nasty,rebar,usage,given,riper,teeth
cloak,heard,cargo,elope,cadet,horny,liner,wooly;3,4,5,6,7,8,9,10;soare,clint,cloak,cadet,horny,liner,cargo,heard,elope,wooly
quake,fetid,plain,bread,buggy,creep,bitty,giant;3,4,5,6,7,8,9,10;soare,clint,plain,fetid,giant,buggy,bread,creep,bitty,quake
blade,thief,reach,scoff,crazy,kappa,scamp,using;3,4,5,6,7,8,9,10;soare,clint,reach,scamp,crazy,using,kappa,scoff,blade,thief
decry,coven,trick,scald,whine,break,circa,baton;3,4,5,6,7,8,9,10;soare,clint,decry,trick,baton,circa,coven,break,whine,scald
willy,debit,state,welch,yield,pleat,overt,moron;3,5,6,7,8,9,10,12;soare,clint,overt,byked,welch,pleat,willy,yield,moron,debit,dirge,state
truce,opera,blitz,bushy,clown,tepid,heath,leper;2,4,5,6,7,8,9,11;soare,opera,clint,tepid,blitz,bushy,clown,heath,truce,lemel,leper
lusty,satin,bring,score,abbot,lasso,color,guide;3,4,5,6,7,8,9,10;soare,clint,guide,score,abbot,satin,bring,lasso,lusty,color
skiff,foist,kinky,trite,feral,venue,there,opera;2,4,5,6,7,8,9,11;soare,opera,clint,there,skiff,kinky,venue,foist,feral,bayes,trite
delay,stair,dryer,intro,stank,audio,clack,habit;2,3,4,5,7,8,9,10;soare,stair,intro,audio,stank,cleft,habit,clack,dryer,delay
mover,poise,sprig,forte,patty,equip,sleek,hussy;3,4,5,6,7,8,9,11;soare,clipt,sprig,sleek,forte,patty,poise,hussy,equip,rowme,mover
width,dress,throw,dodgy,avail,booty,peril,breed;4,5,6,7,8,9,10,11;soare,clint,bundh,avail,peril,width,breed,booty,dress,dodgy,throw
prove,covey,known,revel,grail,nasal,ratty,plait;3,4,5,6,7,8,9,11;soare,clint,plait,covey,nasal,known,revel,ratty,prove,iftar,grail
friar,sheik,wreak,nanny,grime,foamy,range,chock;3,4,5,6,7,8,9,11;soare,clint,foamy,range,sheik,grime,nanny,friar,chock,bayes,wreak
elude,stilt,droll,meter,bevel,label,swell,sharp;4,5,6,7,8,9,11,12;soare,clint,delph,meter,swell,sharp,droll,elude,stilt,bortz,label,bevel
threw,civil,pecan,etude,nurse,bacon,royal,chump;3,4,5,6,7,8,9,10;soare,clint,nurse,pecan,civil,etude,chump,threw,bacon,royal
slash,fiend,wring,snaky,catty,tiara,crony,still;3,4,5,6,7,8,9,11;soare,clint,crony,fiend,snaky,tiara,slash,catty,still,bayes,wring
havoc,masse,cheek,stale,mimic,sorry,braid,proud;2,4,5,6,7,8,9,11;soare,sorry,clint,braid,mimic,masse,proud,stale,havoc,lemel,cheek
baler,jerky,tilde,sober,prong,basic,cruel,twixt;3,4,5,6,7,8,9,10;soare,clint,twixt,cruel,tilde,prong,sober,baler,jerky,basic
amass,cameo,bunch,fjord,inert,finer,pesto,guppy;3,4,5,6,7,8,9,11;soare,clint,cameo,fjord,pesto,inert,guppy,finer,amass,bayes,bunch
expel,salve,logic,baron,skiff,pearl,never,heist;3,4,5,6,7,8,9,11;soare,clint,pearl,salve,heist,never,logic,skiff,expel,bayes,baron
disco,stage,frame,apnea,vogue,pushy,embed,aisle;3,4,5,6,7,8,10,11;soare,clipt,disco,pushy,apnea,embed,aisle,frame,gucky,vogue,stage
robot,sugar,mural,cinch,wispy,ought,swirl,repay;3,4,5,6,7,8,9,11;soare,milty,repay,sugar,ought,wispy,mural,robot,swirl,iftar,cinch
spied,cleft,moult,trove,donor,juicy,beget,relic;3,4,5,6,8,9,10,11;soare,clint,moult,cleft,relic,beget,typed,juicy,spied,trove,donor
grave,crack,fully,crust,champ,horny,unite,guile;3,4,5,6,8,9,10,12;soare,clint,crust,guile,horny,unite,bipod,champ,fully,crack,varia,grave
relic,taunt,rabbi,beast,globe,knack,aphid,chock;3,4,5,6,7,8,9,11;soare,clint,chock,aphid,rabbi,globe,knack,relic,beast,ajiva,taunt
